 51 4001.725809 5.633E-31 1.139E+00.04200.041 5251.07690.70-.005000              3              1                    P 40      462223 5 8 3 3 2 1    79.0   81.0
 51 4006.200258 2.076E-29 3.619E-01.04200.041 4306.13750.74-.005000              2              0                    P 47      476223 5 8 2 2 2 1    93.0   95.0
 51 4008.151913 1.149E-30 1.149E+00.04200.041 5100.23820.70-.005000              3              1                    P 39      462223 5 8 3 3 2 1    77.0   79.0
 51 4013.107689 4.854E-29 3.649E-01.04200.041 4127.95390.74-.005000              2              0                    P 46      476223 5 8 2 2 2 1    91.0   93.0
 51 4014.513688 2.299E-30 1.158E+00.04200.041 4953.09540.70-.005000              3              1                    P 38      462223 5 8 3 3 2 1    75.0   77.0
 51 4019.951789 1.114E-28 3.679E-01.04200.041 3953.45740.74-.005000              2              0                    P 45      476223 5 8 2 2 2 1    89.0   91.0
 51 4020.810991 4.517E-30 1.168E+00.04200.041 4809.65410.70-.005000              3              1                    P 37      462223 5 8 3 3 2 1    73.0   75.0
 51 4026.732418 2.510E-28 3.709E-01.04200.041 3782.65460.74-.005000              2              0                    P 44      476223 5 8 2 2 2 1    87.0   89.0
 51 4027.043680 8.710E-30 1.177E+00.04200.041 4669.92000.70-.005000              3              1                    P 36      462223 5 8 3 3 2 1    71.0   73.0
 51 4028.392595 1.005E-31 2.512E+00.04570.048 5683.53510.70-.005590              4              2                    P 27      466665 5 8 3 3 2 7    53.0   55.0
 51 4033.211613 1.648E-29 1.187E+00.04200.041 4533.89830.70-.005000              3              1                    P 35      462223 5 8 3 3 2 1    69.0   71.0
 51 4033.449435 5.551E-28 3.739E-01.04200.041 3615.55210.74-.005000              2              0                    P 43      476223 5 8 2 2 2 1    85.0   87.0
 51 4033.936141 1.592E-31 2.534E+00.04640.049 5582.09010.71-.005590              4              2                    P 26      466665 5 8 3 3 2 7    51.0   53.0
 51 4039.314646 3.061E-29 1.197E+00.04200.041 4401.59430.70-.005000              3              1                    P 34      462223 5 8 3 3 2 1    67.0   69.0
 51 4039.413489 2.475E-31 2.556E+00.04690.050 5484.36870.71-.005590              4              2                    P 25      466665 5 8 3 3 2 7    49.0   51.0
 51 4040.102697 1.205E-27 3.770E-01.04200.041 3452.15630.74-.005000              2              0                    P 42      476223 5 8 2 2 2 1    83.0   85.0
 51 4044.824495 3.771E-31 2.578E+00.04750.051 5390.37470.72-.005590              4              2                    P 24      466665 5 8 3 3 2 7    47.0   49.0
 51 4045.352635 5.577E-29 1.207E+00.04250.041 4273.01330.70-.005000              3              1                    P 33      462223 5 8 3 3 2 1    65.0   67.0
 51 4046.692065 2.569E-27 3.801E-01.04200.041 3292.47340.74-.005000              2              0                    P 41      476223 5 8 2 2 2 1    81.0   83.0
 51 4050.169014 5.633E-31 2.600E+00.04840.052 5300.11170.72-.005590              4              2                    P 23      468885 5 8 3 3 2 7    45.0   47.0
